INDIKATOR_ID,INDIKATOR_NAME,EINHEIT_LANG,QUELLE,BESCHREIBUNG
127,5 Nettoaufwendungen Soziale Wohlfahrt [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für soziale Wohlfahrt
128,6 Nettoaufwendungen Verkehr [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Verkehr
129,7 Nettoaufwendungen Umwelt und Raumordnung [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Umwelt und Raumordnung
130,8 Nettoaufwendungen Volkswirtschaft [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Volkswirtschaft
131,9 Nettoaufwendungen Finanzen und Steuern [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Finanzen und Steuern
132,011 Legislative [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Legislative
133,012 Exekutive [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Exekutive
134,02x Gemeindeverwaltung [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Gemeindeverwaltung
135,03x Leistungen für Pensionierte [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Leistungen für Pensionierte
136,09x Verwaltungsliegenschaften [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Verwaltungsliegenschaften
